"id","creator_id","date","type"
"012e71f2-4cd5-4e08-8459-781c6056df11","4407e579-ab87-447e-90ba-b637396bcbd1","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"022a3773-4fce-40b7-a23a-42c8978b863f","4407e579-ab87-447e-90ba-b637396bcbd1","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"02d53665-6719-4337-a47e-b0ba90d75888","efd474e5-3bf5-48df-9805-f471343dd839","""2025-12-27T00:00:00.000Z""","below_min_3_per_week"
"040c4c80-a16c-463a-9152-8875d441a7db","400fca2d-376f-449b-aa93-062c97f7c3f7","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"0496fcb0-1cc9-49ac-bae7-b21414c7e63e","6890def8-5980-4a20-a681-602f9e113f9e","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"0930b556-b8b4-45b6-ba9a-4ca95993a8ae","6a5ff7a2-890c-46b3-8bc6-aae5c5269df9","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"0cf87698-9188-480c-beab-161e35d26cb2","0b30bf4e-263d-44c8-b0d2-b1a4e5d84edc","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"0df92c8e-b696-4da2-a901-5ef8a349c589","4407e579-ab87-447e-90ba-b637396bcbd1","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"134469cd-383a-4448-9d29-cca755bafce9","7bbf3edc-8d8e-4b1a-bc57-04c8836619fa","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"20d7fdd4-4e0a-49f7-b12e-608cd0684fb6","8677b792-9546-451e-9afe-47199bd80177","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"26c95570-5c77-4304-a5c2-5100f36e0dac","6a5ff7a2-890c-46b3-8bc6-aae5c5269df9","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"28abe7c6-0ed7-42c3-a650-3c0058a0c9c5","6890def8-5980-4a20-a681-602f9e113f9e","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"31036a33-8d9b-485a-b20f-102e18c3fd59","088704ef-f125-4323-af15-61be51cd54a3","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"3288a129-4ea6-4407-a34d-7ea92f269639","400fca2d-376f-449b-aa93-062c97f7c3f7","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"34ac7850-107b-4f86-9790-38eed720341c","96e1e78f-9028-4b32-aa2f-4f9bb1e7f5aa","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"3bb6fbfb-8a19-4ef4-a6f0-a92c50476863","a7f9d44b-7577-479e-b154-9ddce10f1508","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"3c728dc2-dcf5-4208-87e3-9a6a1426e71d","8e384bcb-a3e8-47cd-9f64-1d889708fc11","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"3f3c1c1a-d099-406f-8b78-8a9c8db9907c","25e185ca-b8c9-4935-8d26-a9ab20d599ed","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"3f9d855e-5593-4699-a8d4-8aa7c06d1cb9","a7708f14-c2be-4d45-bdfe-992723de9902","""2025-12-27T00:00:00.000Z""","below_min_3_per_week"
"464bbb33-3024-43f5-8d02-a5e4073c14d2","4218f75d-4d54-4c39-af99-272d0d042276","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"4801d4f0-98f4-4666-b462-af6a606e15dc","f16c9866-6790-42b0-a19b-47ca08309558","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"483fcbfe-ae6b-4466-b6e4-eedf2c9702a4","6890def8-5980-4a20-a681-602f9e113f9e","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"48639204-7065-47c2-a5df-abae8f6439be","25e185ca-b8c9-4935-8d26-a9ab20d599ed","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"495131a1-0a60-4a7e-bde9-7e6b5fcbb1b9","088704ef-f125-4323-af15-61be51cd54a3","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"52724f41-8687-49dd-a2e8-47a858645ba3","0b30bf4e-263d-44c8-b0d2-b1a4e5d84edc","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"528f7bab-de92-440c-a631-ce0729843cc4","7bbf3edc-8d8e-4b1a-bc57-04c8836619fa","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"52bb3967-63ef-4988-9c42-55a40a130255","dc5918f5-56d1-45c2-8881-2e4cdc4f0105","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"53620331-51c0-4ccf-a66b-9f03cc4cee86","25e185ca-b8c9-4935-8d26-a9ab20d599ed","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"5790af16-a1c3-46a3-b1ce-cc56a58012f3","8e384bcb-a3e8-47cd-9f64-1d889708fc11","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"60fcb562-d341-4d8a-9efe-fd15615be895","ad9bc77b-aaac-4cdc-8d6f-4a9a4c9dc0ea","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"68231766-145a-4b78-9e5d-ab873549ff3d","a76381fc-72b9-461e-8736-39bedb6ac170","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"6a2c89f7-934d-458b-ad7b-a438e966cdb1","e2cff90e-487c-4b46-8382-54c8768085fb","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"6c22d093-49d4-42e7-8e12-acb023f1663f","a7f9d44b-7577-479e-b154-9ddce10f1508","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"6d635cb2-33d9-4a9d-b4fb-d7f819f7ddb1","6a5ff7a2-890c-46b3-8bc6-aae5c5269df9","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"7757194d-61ab-46a9-a4d7-4b4ce117fb17","8677b792-9546-451e-9afe-47199bd80177","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"7ad83db5-dc74-41aa-adbb-1a41cbd7b1a8","2c757504-b112-468c-8d7a-66fda878f492","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"7d99124a-4b05-4435-8a9b-b7fdbd1fddd4","a7f9d44b-7577-479e-b154-9ddce10f1508","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"7e86a9d5-5aba-443e-a1dd-44eaabd9d9df","a7f9d44b-7577-479e-b154-9ddce10f1508","""2025-12-27T00:00:00.000Z""","below_min_3_per_week"
"81ecd3b7-b452-4f6e-a395-fc5ff46b80e7","e2cff90e-487c-4b46-8382-54c8768085fb","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"88d11f87-4d7a-4dc0-a367-5a0c1f31576e","8e384bcb-a3e8-47cd-9f64-1d889708fc11","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"895f7ff0-5a11-4254-a20c-a128e2c0c8c2","a76381fc-72b9-461e-8736-39bedb6ac170","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"8a57ddf7-67d4-4895-b149-9ff7e9b95b65","6890def8-5980-4a20-a681-602f9e113f9e","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"8e52487f-7a66-408e-9008-6a1cebd75114","c19473b0-6f05-4c88-bf89-3be17187518a","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"9114a372-e9f6-4f64-b13b-3d8124a559be","45332657-2a7e-430d-96db-9dec143f7d6f","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"91164c97-cff4-4368-8111-ba7a1600c181","45332657-2a7e-430d-96db-9dec143f7d6f","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"91adabf6-95bd-4357-acf1-85ac3ffa083d","8677b792-9546-451e-9afe-47199bd80177","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"978ac7e3-ff7c-45a0-a5fb-28afaef49a0f","8677b792-9546-451e-9afe-47199bd80177","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"9cd9995d-187f-4024-8ebc-2b91c336725f","4407e579-ab87-447e-90ba-b637396bcbd1","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"9e36faa6-95a5-4a61-8411-e00eec7b3ff3","e2cff90e-487c-4b46-8382-54c8768085fb","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"a1a6201e-41b5-4ac5-880b-f32a18760d27","400fca2d-376f-449b-aa93-062c97f7c3f7","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"a34ce540-2495-4019-8ac2-380635aa5461","ae7a80c7-f083-4a4e-9b53-74db6df5a8e2","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"a4cdec3f-29b5-4d7c-874e-a96eb5cd03c9","d54690fa-9a7b-464f-8707-e39d61e97909","""2025-12-27T00:00:00.000Z""","below_min_3_per_week"
"b0fdb788-46bf-44b6-8eb2-c2c1f4e26532","63315673-8da7-4cb8-8d6a-63f3f0cca406","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"b1bda7e6-9c11-4da5-9480-2072e110ec44","4218f75d-4d54-4c39-af99-272d0d042276","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"b73a354d-a140-4239-85bf-9a1790426f26","ad9bc77b-aaac-4cdc-8d6f-4a9a4c9dc0ea","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"b9076291-b8e6-43b3-ad58-152335239547","5d7c36d0-4021-4c91-b7d9-24ee83fa9a76","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"bf872117-8ffd-4fda-ada3-c992e1314268","e2cff90e-487c-4b46-8382-54c8768085fb","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"c25ee972-5a3b-4f92-968d-948f4618963f","7c944ebf-5ec8-4339-b228-e96ee1476f1b","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"cb05c335-4ca3-4c50-b30c-ed381af614ac","ec5fd739-4e83-4038-98fa-ea867934f66b","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"cb828ae7-69e2-4857-b7d6-7de5d14bec71","3de7e658-c701-46cd-aa2b-69b8cd51f289","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"cba6e2b3-2c21-416d-bf1f-2927bd5c13de","a7f9d44b-7577-479e-b154-9ddce10f1508","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"cca2fcff-cdff-47a9-8148-e26dfb9c9419","088704ef-f125-4323-af15-61be51cd54a3","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"ccc11044-4f16-4c1d-8f86-c980a5175d89","0a865508-2f76-4943-bfd5-0d587344e44f","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"cdea6f81-8621-46c0-9d42-5c82500252ce","4218f75d-4d54-4c39-af99-272d0d042276","""2025-12-27T00:00:00.000Z""","below_min_3_per_week"
"d911e6ea-1866-4377-ac98-32597bf38430","96e1e78f-9028-4b32-aa2f-4f9bb1e7f5aa","""2026-01-31T00:00:00.000Z""","below_min_3_per_week"
"dbfdc272-5c1d-4989-9a44-2f398d863d6e","7bbf3edc-8d8e-4b1a-bc57-04c8836619fa","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"e17e5685-77ca-470b-bed6-34bf330e4871","7c944ebf-5ec8-4339-b228-e96ee1476f1b","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"e2c9900d-a75d-4148-9af6-36310014cb61","4ac7db93-d375-4925-97b2-47130e06ad40","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"e2eb16e6-44fd-4cc8-9c0a-ed4c7e307b85","400fca2d-376f-449b-aa93-062c97f7c3f7","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"e7ead58b-1dd8-4e94-8906-623efc779bc2","c19473b0-6f05-4c88-bf89-3be17187518a","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"ed758063-ac54-4094-b4f7-86b1adc84eee","25e185ca-b8c9-4935-8d26-a9ab20d599ed","""2026-01-24T00:00:00.000Z""","below_min_3_per_week"
"f0a46667-cbf7-4ea4-9fed-eda6e5cff049","7bbf3edc-8d8e-4b1a-bc57-04c8836619fa","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"
"f3e8ae4b-4d1c-469e-add7-b9ac4a82fd52","0b30bf4e-263d-44c8-b0d2-b1a4e5d84edc","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"f6295699-c65c-4cf9-bcd2-704eb2827404","6a5ff7a2-890c-46b3-8bc6-aae5c5269df9","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"f9e30963-c139-45e4-833a-0ff6f4922b7b","7c944ebf-5ec8-4339-b228-e96ee1476f1b","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"fa0a006b-0eea-43b7-9755-c08cf7b2dc27","ad9bc77b-aaac-4cdc-8d6f-4a9a4c9dc0ea","""2026-02-14T00:00:00.000Z""","below_min_3_per_week"
"fac1f43b-a824-4cca-ad25-f02f93e19d1c","7c944ebf-5ec8-4339-b228-e96ee1476f1b","""2026-01-17T00:00:00.000Z""","below_min_3_per_week"